item_id,category,item_name,short_description,size_or_serving,regular_price_inr,offer_price_inr,customisable,vegetarian,menu_source,menu_source_url,retrieved_date
DSMW-022,Thick Shakes,Dry Fruit Thick Shake,"Indulge in a luscious thick shake packed with the rich flavors of assorted dry fruits, a treat for all the senses.",Standard serving (size not published),250,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-023,Thick Shakes,Caramel Oreo Thick Shake,Indulge in a decadent blend of creamy caramel and irresistible Oreo cookies with our deliciously rich Thick Shake.,Standard serving (size not published),240,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-024,Thick Shakes,Gems Thick Shake,Indulge in a luscious and creamy thick shake that will leave you craving for more.,Standard serving (size not published),220,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-025,Thick Shakes,Choco Chips Thick Shake,Indulge in a creamy and irresistible thick shake loaded with delectable choco chips.,Standard serving (size not published),260,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-026,Thick Shakes,Munch Thick Shake,"Indulge in the creamy richness of our Munch Thick Shake, a veggie delight that will satisfy your sweet cravings in one sip.",Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-027,Thick Shakes,Bourbon Thick Shake,Indulge in a rich and creamy Thick Shake that combines the smoothness of bourbon to create a delectable veggie delight.,Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-028,Thick Shakes,Perk Thick Shake,Indulge in a rich and creamy delight that will leave you craving for more-packed with irresistible flavors.,Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-029,Thick Shakes,Dark Fantasy Thick Shake,Indulge in a rich and decadent treat that will take your taste buds on a dark and velvety adventure.,Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-030,Thick Shakes,Kitkat Thick Shake,Indulge in a creamy and luscious delight bursting with the irresistible flavors of Kitkat.,Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-031,Thick Shakes,Oreo Thick Shake,Indulge in a creamy and luscious dessert that will satisfy all your sweet cravings.,Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-032,Thick Shakes,Caramel Thick Shake,Indulge in a decadently sweet and creamy caramel delight that will leave you craving for more.,Standard serving (size not published),240,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-033,Thick Shakes,Pista Thick Shake,"Indulge in a luscious, creamy and irresistible thick shake delicately flavored with pistachio essence.",Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-034,Thick Shakes,Butter Choco Thick Shake,"Indulge in a luscious and rich blend of butter and chocolate, creating a decadent thick shake that will satisfy all your dessert cravings.",Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-035,Thick Shakes,Choco Fun Thick Shake,Indulge in a lusciously creamy and delightful thick shake that will satisfy your chocolate cravings.,Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-036,Thick Shakes,Yummy Butterscotch Thick Shake,Indulge in the delectable flavors of a luscious butterscotch thick shake that is sure to satisfy your sweet tooth.,Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-037,Thick Shakes,Mango Melody Thick Shake,"A luscious and tropical delight, blending the rich sweetness of mangoes into a delightful thick shake.",Standard serving (size not published),210,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-038,Thick Shakes,Strawberry Thick Shake,Indulge in the lusciousness of this creamy and fruity delight that refreshes and satisfies your taste buds.,Standard serving (size not published),190,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-039,Thick Shakes,Vanilla Thick Shake,Indulge in a creamy and luxurious taste experience with this delectable Vanilla Thick Shake.,Standard serving (size not published),190,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-040,Butter Milk,Masala Buttermilk,A refreshing and flavorful traditional Indian beverage that will tantalize your taste buds with its unique blend of aromatic spices.,Standard serving (size not published),30,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-041,Butter Milk,Special Lemon Masala,"A refreshing blend of tangy lemon and aromatic masala, harmoniously combined to create a tantalizing flavor experience.",Standard serving (size not published),30,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-042,Butter Milk,Special Jeera Masala,"A refreshing and flavorful blend of aromatic spices, bringing a unique twist to classic buttermilk.",Standard serving (size not published),40,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-043,Butter Milk,Sp.lemon Sabja Butter Milk,"A refreshing blend of lemon and sabja seeds, this butter milk delivers a burst of tangy flavors, perfect to quench your thirst and tantalize your taste buds.",Standard serving (size not published),45,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-044,Butter Milk,Sp Jeera Sabja Butter Milk,A refreshing and flavorful blend of jeera and sabja in creamy butter milk.,Standard serving (size not published),45,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-045,Milk Shakes,Caramel Oreo Milkshake,"Rich and creamy milkshake with a delicious caramel twist, topped with chunks of Oreo cookies.",Standard serving (size not published),170,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-046,Milk Shakes,Golden Glory Milk Shake,"Indulge in the irresistible creaminess of this luscious golden delight, a delectable milkshake that promises pure bliss with every sip.",Standard serving (size not published),119,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-047,Milk Shakes,Sleek Strawberry Milk Shake,Indulge in a creamy and refreshing strawberry milkshake that will satisfy your sweet tooth.,Standard serving (size not published),120,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-048,Milk Shakes,Black Shock Milk Shake,Indulge in a delightfully rich and velvety milkshake that blends bold flavors for a truly memorable experience.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-049,Milk Shakes,Mango Melody Milk Shake,"A luscious melody of mango goodness blended into a creamy, refreshing milkshake.",Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-050,Milk Shakes,Yummy Butterscotch Milk Shake,"Indulge in the lusciousness of a delectable butterscotch milk shake, loaded with sweet and creamy flavors.",Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-051,Milk Shakes,Choco Fun Milk Shake,Indulge in a delightful milkshake that combines the richness of chocolate with the fun flavors of Choco Fun Milk Shake.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-052,Milk Shakes,Butter Choco Milk Shake,"Indulge your taste buds with a luscious and creamy blend of butter, chocolate, and milk in this delightful milkshake.",Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-053,Milk Shakes,Pista Milk Shake,Indulge in the creamy and nutty goodness of this irresistible milkshake that will leave your taste buds craving for more.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-054,Milk Shakes,Caramel Milk Shake,Indulge in a delightful blend of creamy sweetness with our luscious Caramel Milk Shake.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-055,Milk Shakes,Oreo Milk Shake,"Indulge in a luscious, velvety treat that combines the rich, classic flavors of Oreo cookies with creamy milk for a satisfying Milk Shake.",Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-056,Milk Shakes,Dark Fantasy Milk Shake,"Indulge in the lusciousness of our rich and velvety milkshake, a decadent delight for all milkshake enthusiasts.",Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-057,Milk Shakes,Perk Milk Shake,Indulge in a refreshing and creamy milkshake that will perk up your taste buds.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-058,Milk Shakes,Bourbon Milk Shake,Indulge in a creamy and rich delight that perfectly blends the smoothness of milk with the flavors of decadent bourbon.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-059,Milk Shakes,Munch Milk Shake,Indulge in a creamy and delightful milkshake that will satisfy all your cravings with its luscious and irresistible flavors.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-060,Milk Shakes,Kitkat Milk Shake,A mouthwatering milkshake infused with the irresistible flavors of Kitkat.,Standard serving (size not published),160,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-061,Milk Shakes,Choco Chip Milk Shake,Indulge in a luscious blend of creamy milk and rich chocolate chips with our Choco Chip Milk Shake.,Standard serving (size not published),170,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-062,Soda,Sweet And Lime,"A refreshing lime soda with a hint of sweetness, perfect for beating the heat.",Standard serving (size not published),60,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-063,Soda,Salt And Lime Soda,"Cool and refreshing lime soda with a hint of salt, perfect for beating the heat.",Standard serving (size not published),60,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-064,Soda,Cola Soda,A refreshing and bubbly concoction that's perfect for quenching your thirst and indulging in a delightful burst of flavors.,Standard serving (size not published),80,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-065,Soda,Orange Soda,A refreshing and citrusy delight that perfectly captures the essence of tangy oranges.,Standard serving (size not published),80,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-066,Soda,Sugandhi Soda,A refreshing and fragrant veg soda to tantalize your taste buds with its delightful flavors.,Standard serving (size not published),100,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-067,Soda,Grape Soda,"Effervescent and fruity, this refreshing soda will tantalize your taste buds with its grape-infused delight.",Standard serving (size not published),80,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-068,Lassi,Oreo Lassi,A creamy and indulgent treat that combines the classic flavors of Oreo cookies with the refreshing essence of a traditional lassi.,Standard serving (size not published),99,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-069,Lassi,Chocolate Lassi,"Smooth, creamy and indulgent, this sweet treat is a chocolate lover's dream, blending rich cocoa flavors with the refreshing, velvety texture of traditional Lassi.",Standard serving (size not published),100,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-070,Lassi,Strawberry Lassi,"A refreshing and creamy fusion of strawberries, this lassi is a sweet delight that will brighten up your day.",Standard serving (size not published),99,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-071,Lassi,Sweet Vanilla,"Indulge in a delectable, creamy delight bursting with the richness of vanilla essence, perfect for a refreshing lassi experience.",Standard serving (size not published),50,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-072,Lassi,Thick Mango Lassi,"Indulge in a luscious delight that combines the rich creaminess of lassi with the vibrant sweetness of ripe mangos, creating a thick and irresistible treat.",Standard serving (size not published),110,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-073,Lassi,Special Dry Fruit Lassi,"Indulge in a creamy, velvety delight loaded with the richness of dry fruits in every sip.",Standard serving (size not published),110,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-074,Mocktails,Strawberry Moctail,"Creamy and refreshing, this delightful flavored milk combines the sweetness of ripe strawberries with a luscious, smooth texture.",Standard serving (size not published),100,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-075,Mocktails,Blue Curacao Moctail,"A vibrant and refreshing mocktail bursting with tropical flavors, perfect for any occasion.",Standard serving (size not published),110,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-076,Mocktails,Black Currant Mactail,Indulge in a tangy and refreshing black currant mocktail that will invigorate your taste buds.,Standard serving (size not published),110,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-077,Mocktails,Mint Mactail,"Refreshing and invigorating, this mocktail combines the cool essence of mint with a delightful blend of flavors, creating a truly delectable experience for your taste buds.",Standard serving (size not published),110,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-078,Mocktails,Mint And Lime,Mint And Lime beverage or dessert from the mocktails menu.,Standard serving (size not published),110,,no,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
DSMW-079,Mocktails,Litchi,A refreshing and creamy blend of flavors make this indulgent treat the perfect way to cool down and satisfy your cravings.,Standard serving (size not published),110,,yes,Yes (as listed by Swiggy),Swiggy,https://www.swiggy.com/city/vijayawada/ds-milk-world-auto-nagar-rest107873,2026-09-08
